aðalrannsakandi;kk
aðalrannsóknarlögreglumaður;kk
aðalrannsóknarmaður;kk
aðalrauf;kvk
aðalráð;hk
aðalráðamaður;kk
aðalráðgjafi;kk
aðalráðherra;kk
aðalráðskona;kvk
aðalráðunautur;kk
aðalrás;kvk
aðalregla;kvk
aðalreiðhestur;kk
aðalreiðhjólaviðgerðarmaður;kk
aðalreikningur;kk
aðalrétt;kvk
aðalréttur;kk
aðalrif;hk
aðalrigningartími;kk
aðalrit;hk
aðalritaraembætti;hk
aðalritari;kk
aðalritdómari;kk
aðalritgerð;kvk
aðalritstjóri;kk
aðalritunartími;kk
aðalríki;hk
aðalrofi;kk
aðalrót;kvk
aðalrými;hk
aðalræða;kvk
aðal ræðismaður;kk
aðalræðismaður;kk
aðalræðismannsskrifstofa;kvk
aðalræðismannstign;kvk
aðalræðisskrifstofa;kvk
aðalræðumaður;kk
aðalrækt;kvk
aðalræsi;hk
aðalræsting;kvk
aðalrödd;kvk
aðalrök;hk
aðalröksemd;kvk
aðalsafn;hk
aðalsafnaðarfundur;kk
aðalsafnforingi;kk
aðalsaga;kvk
aðalsagnamaður;kk
aðalsakborningur;kk
aðalsaksóknari;kk
aðalsalur;kk
aðalsamgönguleið;kvk
aðalsamgöngutæki;hk
aðalsamgönguvegur;kk
aðalsamgönguæð;kvk
aðalsamkomustaður;kk
aðalsamningamaður;kk
aðalsamninganefnd;kvk
aðalsamninganefndarmaður;kk
aðalsamningur;kk
aðalsamskeyti;hk
aðal samstarfsaðili;kk
aðalsamstarfsaðili;kk
aðalsamstarfsmaður;kk
aðalsamverkamaður;kk
aðalsarpur;kk
aðalsál;kvk
aðalsblóð;hk
aðalsblóm;hk
aðalsbragur;kk
aðalsbréf;hk
aðalsdama;kvk
aðalsdeild;kvk
aðalsdramb;hk
aðalsdraugur;kk
aðalseðlabankastjóri;kk
aðalseðlamagn;hk
aðalseðli;hk
aðalseglasaumari;kk
aðalseigin;hk
aðalseinkenni;hk
aðalsendiherra;kk
aðalsendimaður;kk
aðal setning;kvk
aðalsetning;kvk
aðalsetningastíll;kk
aðalsetningastjóri;kk
aðalsetur;hk
aðalsérfræðingur;kk
aðalsfólk;hk
aðalsfrelsi;hk
aðalsfrú;kvk
aðalsgóss;hk
aðalshöll;kvk
aðalsíða;kvk
aðalsíki;hk
aðalsjávarútvegur;kk
aðalsjóður;kk
aðalsjónarmið;hk
aðalsjúkrahús;hk
aðalskaparbréf;hk
aðalskattheimtumaður;kk
aðalskáld;hk
aðalskáldverk;hk
aðalskáli;kk
aðalskeið;hk
aðalskemmtiatriði;hk
aðalskemmtun;kvk
aðalskilmáli;kk
aðalskilningarvit;hk
aðalskilrúm;hk
aðalskilyrði;hk
aðalskin;hk
aðalskinnklæðasaumari;kk
aðalskip;hk
aðalskipan;kvk
aðalskipaskrá;kvk
aðalskipti;hk
aðalskipulag;hk
aðalskipulagsáætlun;kvk
aðalskipulagsbreyting;kvk
aðalskipulagskort;hk
aðalskipulagstillaga;kvk
aðalskipulagsvinna;kvk
aðalskipuleggjandi;kk
aðalskjár;kk
aðalskoðun;kvk
aðalskoðunarmaður;kk
aðalskona;kvk
aðalskotmark;hk
aðalskotspónn;kk
aðalskólamál;hk
aðalskóli;kk
aðalskrá;kvk
aðalskref;hk
aðalskriða;kvk
aðalskrif;hk
aðalskrifari;kk
aðalskrifstofa;kvk
aðalskrifstofumaður;kk
aðalskuldari;kk
aðalskurðlæknir;kk
aðalskurður;kk
aðalskúgun;kvk
aðalskvonfang;hk
aðalskylda;kvk
aðalskyn;hk
aðalskytta;kvk
aðalskýring;kvk
aðalskýrsla;kvk
aðalslagæð;kvk
aðalslétta;kvk
aðalslóð;kvk
aðalslund;kvk
aðalslægjuland;hk
aðalsmaður;kk
aðalsmannafangelsi;hk
aðalsmannahverfi;hk
aðalsmannakúgun;kvk
aðalsmannaregistur;hk
aðalsmannastétt;kvk
